team_id	team_name	number	name_ja	name_en	height_cm	player_id	url
1637	ベルテックス静岡	2	今野 海輝	Mitsuki Konno	176	51000575	https://www.bleague.jp/roster_detail/?PlayerID=51000575
1637	ベルテックス静岡	3	山本 愛哉	Manaya Yamamoto	163	51000444	https://www.bleague.jp/roster_detail/?PlayerID=51000444
1637	ベルテックス静岡	5	クリス・エブ・ンドウ	Chris-Ebou Ndow	199	51000539	https://www.bleague.jp/roster_detail/?PlayerID=51000539
1637	ベルテックス静岡	6	上村 大佐	Taisuke Uemura	190	51000453	https://www.bleague.jp/roster_detail/?PlayerID=51000453
1637	ベルテックス静岡	7	渡久地 政睦	Masachika Toguchi	175	51000557	https://www.bleague.jp/roster_detail/?PlayerID=51000557
1637	ベルテックス静岡	11	増田 啓介	Keisuke Masuda	194	20018	https://www.bleague.jp/roster_detail/?PlayerID=20018
1637	ベルテックス静岡	14	柏倉 哲平	Teppei Kashiwagura	180	10894	https://www.bleague.jp/roster_detail/?PlayerID=10894
1637	ベルテックス静岡	16	橋本 尚明	Naoaki Hashimoto	184	8684	https://www.bleague.jp/roster_detail/?PlayerID=8684
1637	ベルテックス静岡	21	ケニー・ローソン・ジュニア	KennyLawson Jr.	207	32988	https://www.bleague.jp/roster_detail/?PlayerID=32988
1637	ベルテックス静岡	22	バローン マーテル	Martel Barone	194	15828	https://www.bleague.jp/roster_detail/?PlayerID=15828
1637	ベルテックス静岡	25	鍋田 隆征	Ryusei Nabeta	175	51000375	https://www.bleague.jp/roster_detail/?PlayerID=51000375
1637	ベルテックス静岡	26	アンガス・ブラント	Angus Brandt	208	33039	https://www.bleague.jp/roster_detail/?PlayerID=33039
1637	ベルテックス静岡	30	サイモン 拓海	Takumi Simon	190	51000174	https://www.bleague.jp/roster_detail/?PlayerID=51000174
1637	ベルテックス静岡	33	林 翔太郎	Shotaro Hayashi	195	15816	https://www.bleague.jp/roster_detail/?PlayerID=15816
1637	ベルテックス静岡	41	加納 誠也	Seiya Kanou	196	9319	https://www.bleague.jp/roster_detail/?PlayerID=9319
1637	ベルテックス静岡	88	松田 颯	Fu Matsuda	191	51000574	https://www.bleague.jp/roster_detail/?PlayerID=51000574
1637	ベルテックス静岡	0	橋本 竜馬	Ryoma Hashimoto	178	8587	https://www.bleague.jp/roster_detail/?PlayerID=8587
1638	佐賀バルーナーズ	2	レイナルド・ガルシア	Reynaldo Garcia	187	33100	https://www.bleague.jp/roster_detail/?PlayerID=33100
1638	佐賀バルーナーズ	5	山下 泰弘	Yasuhiro Yamashita	187	9310	https://www.bleague.jp/roster_detail/?PlayerID=9310
1638	佐賀バルーナーズ	6	福永 健太	Kenta Fukunaga	176	51000473	https://www.bleague.jp/roster_detail/?PlayerID=51000473
1638	佐賀バルーナーズ	7	橋本 晃佑	Kosuke Hashimoto	203	8496	https://www.bleague.jp/roster_detail/?PlayerID=8496
1638	佐賀バルーナーズ	8	轟 琉維	Rui Todoroki	169	51000457	https://www.bleague.jp/roster_detail/?PlayerID=51000457
1638	佐賀バルーナーズ	13	阿部 諒	Ryo Abe	184	15756	https://www.bleague.jp/roster_detail/?PlayerID=15756
1638	佐賀バルーナーズ	14	金丸 晃輔	Kosuke Kanamaru	192	8592	https://www.bleague.jp/roster_detail/?PlayerID=8592
1638	佐賀バルーナーズ	17	大石 空汰	Sorata Oishi	171	51000376	https://www.bleague.jp/roster_detail/?PlayerID=51000376
1638	佐賀バルーナーズ	18	内尾 聡理	Sori Uchio	184	51000353	https://www.bleague.jp/roster_detail/?PlayerID=51000353
1638	佐賀バルーナーズ	20	岸田 篤生	Atsuki Kishida	175	18461	https://www.bleague.jp/roster_detail/?PlayerID=18461
1638	佐賀バルーナーズ	21	富山 仁貴	Toshiki Tomiyama	195	51000440	https://www.bleague.jp/roster_detail/?PlayerID=51000440
1638	佐賀バルーナーズ	22	タナー・グローヴス	Tanner Groves	208	51000480	https://www.bleague.jp/roster_detail/?PlayerID=51000480
1638	佐賀バルーナーズ	23	デイビッド・ダジンスキー	David Dudzinski	205	51000271	https://www.bleague.jp/roster_detail/?PlayerID=51000271
1638	佐賀バルーナーズ	25	角田 太輝	Taiki Sumida	182	51000111	https://www.bleague.jp/roster_detail/?PlayerID=51000111
1638	佐賀バルーナーズ	34	井上 諒汰	Ryota Inoue	185	26888	https://www.bleague.jp/roster_detail/?PlayerID=26888
1638	佐賀バルーナーズ	55	ジョシュ・ハレルソン	Josh Harrellson	208	9063	https://www.bleague.jp/roster_detail/?PlayerID=9063
2486	アルティーリ千葉	1	マリアル・シャヨク	Marial Shayok	196	51000578	https://www.bleague.jp/roster_detail/?PlayerID=51000578
2486	アルティーリ千葉	3	黒川 虎徹	Kotetsu Kurokawa	175	51000359	https://www.bleague.jp/roster_detail/?PlayerID=51000359
2486	アルティーリ千葉	5	前田 怜緒	Reo Maeda	191	30402	https://www.bleague.jp/roster_detail/?PlayerID=30402
2486	アルティーリ千葉	7	デレク・パードン	Dererk Pardon	203	51000321	https://www.bleague.jp/roster_detail/?PlayerID=51000321
2486	アルティーリ千葉	8	長谷川 智也	Tomoya Hasegawa	185	8594	https://www.bleague.jp/roster_detail/?PlayerID=8594
2486	アルティーリ千葉	11	杉本 慶	Kei Sugimoto	184	8520	https://www.bleague.jp/roster_detail/?PlayerID=8520
2486	アルティーリ千葉	16	大崎 裕太	Yuta Osaki	177	18429	https://www.bleague.jp/roster_detail/?PlayerID=18429
2486	アルティーリ千葉	21	ブランドン・アシュリー	Brandon Ashley	206	51000189	https://www.bleague.jp/roster_detail/?PlayerID=51000189
2486	アルティーリ千葉	22	トレイ・ポーター	Trey Porter	210	51000192	https://www.bleague.jp/roster_detail/?PlayerID=51000192
2486	アルティーリ千葉	24	大塚 裕土	Yuto Otsuka	188	8449	https://www.bleague.jp/roster_detail/?PlayerID=8449
2486	アルティーリ千葉	27	熊谷 尚也	Naoya Kumagae	195	8498	https://www.bleague.jp/roster_detail/?PlayerID=8498
2486	アルティーリ千葉	33	エヴァンス ルーク	Luke Evans	203	9418	https://www.bleague.jp/roster_detail/?PlayerID=9418
2486	アルティーリ千葉	42	渡邉 伶音	Leon Watanabe	206	51000352	https://www.bleague.jp/roster_detail/?PlayerID=51000352
2486	アルティーリ千葉	0	木田 貴明	Takaaki Kida	188	15750	https://www.bleague.jp/roster_detail/?PlayerID=15750
2488	長崎ヴェルカ	1	松本 健児リオン	Kenji leonMatsumoto	183	10893	https://www.bleague.jp/roster_detail/?PlayerID=10893
2488	長崎ヴェルカ	4	狩俣 昌也	Masaya Karimata	178	8590	https://www.bleague.jp/roster_detail/?PlayerID=8590
2488	長崎ヴェルカ	5	イ ヒョンジュン	Hyunjung Lee	201	51000379	https://www.bleague.jp/roster_detail/?PlayerID=51000379
2488	長崎ヴェルカ	6	森田 雄次	Yuji Morita	173	33026	https://www.bleague.jp/roster_detail/?PlayerID=33026
2488	長崎ヴェルカ	7	ジャレル・ブラントリー	Jarrell Brantley	201	51000304	https://www.bleague.jp/roster_detail/?PlayerID=51000304
2488	長崎ヴェルカ	9	森川 正明	Masaaki Morikawa	191	9405	https://www.bleague.jp/roster_detail/?PlayerID=9405
2488	長崎ヴェルカ	11	熊谷 航	Ko Kumagai	173	19957	https://www.bleague.jp/roster_detail/?PlayerID=19957
2488	長崎ヴェルカ	13	星川 堅信	Kenshin Hoshikawa	190	5100000021	https://www.bleague.jp/roster_detail/?PlayerID=5100000021
2488	長崎ヴェルカ	14	スタンリー・ジョンソン	Stanley Johnson	198	51000529	https://www.bleague.jp/roster_detail/?PlayerID=51000529
2488	長崎ヴェルカ	17	山口 颯斗	Hayato Yamaguchi	195	30437	https://www.bleague.jp/roster_detail/?PlayerID=30437
2488	長崎ヴェルカ	18	馬場 雄大	Yudai Baba	196	12577	https://www.bleague.jp/roster_detail/?PlayerID=12577
2488	長崎ヴェルカ	21	菅野 翔太	Shota Kanno	190	8677	https://www.bleague.jp/roster_detail/?PlayerID=8677
2488	長崎ヴェルカ	25	アキル・ミッチェル	Akil Mitchell	206	51000395	https://www.bleague.jp/roster_detail/?PlayerID=51000395
2488	長崎ヴェルカ	32	田中 流嘉州	Lucas Tanaka	194	51000590	https://www.bleague.jp/roster_detail/?PlayerID=51000590
2488	長崎ヴェルカ	99	川真田 紘也	Koya Kawamata	204	5100000015	https://www.bleague.jp/roster_detail/?PlayerID=5100000015
